#Rank	Path	LengthInKmers	Flows
1	517000001	1280	3
1	520000001	1551	3
0	544000000	1581	3
0	545000000	1381	3
1	521000001	1670	3
1	522000001	1965	3
0	549000000	1694	3
1	523000001	1726	3
1	524000001	1323	3
0	550000000	4244	3
1	525000001	2164	3
0	551000000	2774	3
1	526000001	2297	3
0	552000000	2148	3
0	553000000	1214	3
0	554000000	3267	3
0	560000000	1477	3
1	528000001	5881	3
1	529000001	1243	3
0	561000000	2413	3
1	533000001	2486	3
1	534000001	1212	3
0	562000000	4278	3
0	564000000	1789	3
1	537000001	1757	3
0	565000000	1320	3
0	566000000	1713	3
1	540000001	3938	3
0	569000000	1393	3
0	570000000	1584	3
1	541000001	2958	3
1	542000001	2450	3
1	544000001	1537	3
0	573000000	1112	3
1	545000001	3134	3
0	574000000	3242	3
0	577000000	1006	3
1	546000001	3023	3
0	578000000	1255	3
1	548000001	2230	3
0	581000000	3398	3
0	585000000	2847	3
1	549000001	3547	3
0	586000000	1274	3
1	551000001	1182	3
0	587000000	988	3
0	588000000	966	3
1	552000001	2080	3
0	590000000	1393	3
1	554000001	2642	3
1	555000001	1415	3
0	591000000	4125	3
1	557000001	2234	3
0	593000000	2857	3
0	595000000	1028	3
1	558000001	2036	3
0	597000000	2017	3
1	559000001	1648	3
0	604000000	973	3
1	560000001	1280	3
1	561000001	1087	3
0	605000000	2430	3
0	607000000	895	3
0	608000000	1053	3
0	610000000	896	3
1	562000001	4683	3
0	613000000	915	3
1	564000001	1095	3
0	616000000	2024	3
1	565000001	2455	3
0	617000000	2606	3
1	566000001	1818	3
0	618000000	1035	3
1	567000001	1344	3
1	570000001	1021	3
0	619000000	1754	3
0	622000000	859	3
1	571000001	2090	3
0	623000000	1476	3
1	573000001	1239	3
0	624000000	1016	3
0	626000000	836	3
1	576000001	3374	3
1	579000001	1135	3
1	580000001	1432	3
1	581000001	2428	3
0	627000000	1346	3
1	582000001	1744	3
0	628000000	1194	3
1	586000001	1023	3
0	631000000	852	3
0	634000000	1421	3
1	587000001	2722	3
0	636000000	1262	3
0	639000000	2522	3
1	588000001	4630	3
0	640000000	802	3
0	641000000	1387	3
0	643000000	769	3
0	646000000	1022	3
1	589000001	3177	3
1	591000001	1219	3
0	647000000	1897	3
1	592000001	1256	3
0	648000000	1454	3
0	651000000	945	3
0	653000000	868	3
0	654000000	726	3
1	593000001	4704	3
0	655000000	2412	3
1	595000001	2864	3
0	656000000	1732	3
0	658000000	1007	3
1	596000001	1018	3
0	659000000	962	3
0	662000000	1453	3
1	598000001	2057	3
1	600000001	1744	3
0	666000000	3156	3
0	667000000	879	3
1	601000001	2367	3
0	674000000	2725	3
1	604000001	1733	3
1	606000001	867	3
1	607000001	2718	3
1	608000001	1102	3
0	677000000	5657	3
1	612000001	1803	3
0	678000000	636	3
1	613000001	820	3
0	681000000	1280	3
0	684000000	846	3
1	616000001	3589	3
0	687000000	2617	3
1	618000001	1156	3
1	620000001	833	3
0	688000000	1998	3
1	621000001	2490	3
0	689000000	2372	3
1	624000001	1055	3
0	693000000	1231	3
1	625000001	1897	3
1	627000001	945	3
0	694000000	2501	3
0	695000000	3169	3
1	629000001	4168	3
0	698000000	1289	3
0	699000000	1169	3
1	634000001	2848	3
0	700000000	1858	3
1	638000001	1644	3
0	702000000	2032	3
1	640000001	1553	3
0	705000000	1218	3
0	708000000	1234	3
1	644000001	3386	3
0	709000000	785	3
0	711000000	1079	3
1	648000001	4466	3
0	715000000	3505	3
1	651000001	4950	3
0	716000000	3220	3
0	718000000	778	3
0	721000000	1544	3
1	655000001	3968	3
0	723000000	489	3
1	658000001	774	3
1	666000001	881	3
0	726000000	1708	3
1	667000001	1085	3
1	668000001	1044	3
0	727000000	2552	3
1	670000001	2035	3
0	731000000	1133	3
0	735000000	699	3
0	738000000	715	3
1	671000001	2359	3
1	673000001	1226	3
0	739000000	2071	3
0	740000000	758	3
1	674000001	2499	3
0	743000000	1195	3
1	676000001	2146	3
0	746000000	1976	3
0	750000000	394	2
1	678000001	849	3
1	679000001	2301	3
0	757000000	454	3
1	684000001	1070	3
0	760000000	1006	3
0	762000000	405	3
0	764000000	488	2
1	687000001	1046	3
0	766000000	600	3
0	767000000	903	3
0	769000000	458	3
0	770000000	525	3
1	688000001	2225	3
0	772000000	509	3
1	691000001	1208	3
0	773000000	640	3
1	695000001	2047	3
0	774000000	2047	3
1	697000001	1041	3
1	703000001	1266	3
1	704000001	584	3
0	775000000	4666	3
1	709000001	1634	3
0	777000000	383	3
0	778000000	759	3
0	779000000	399	3
0	782000000	544	3
1	710000001	2722	3
0	784000000	792	3
1	722000001	1008	3
1	724000001	1595	3
0	786000000	3386	3
0	788000000	407	3
0	789000000	330	3
1	725000001	2570	3
0	792000000	509	3
0	793000000	444	3
0	799000000	438	3
0	800000000	1049	3
1	726000001	3164	3
0	802000000	2130	3
0	806000000	279	3
0	807000000	957	3
0	808000000	769	3
1	727000001	1532	3
0	809000000	668	3
0	813000000	708	3
0	815000000	595	4
0	818000000	891	3
1	729000001	3661	3
0	820000000	375	3
0	823000000	274	3
1	730000001	1536	3
0	824000000	516	3
0	829000000	427	3
1	731000001	749	3
0	830000000	385	3
0	832000000	238	2
0	835000000	287	3
1	732000001	2208	3
0	838000000	2357	3
0	839000000	602	3
0	841000000	1313	3
0	843000000	396	3
0	848000000	242	3
0	850000000	263	3
0	854000000	363	3
0	856000000	257	3
0	859000000	222	3
0	860000000	226	3
0	861000000	396	3
0	863000000	207	3
