ref_genome	num_genomes_sharing	genome_codes_not_sharing	num_shared_positions
1	15	,2,3,14,	93
1	15	,2,4,13,	12
1	15	,2,16,17,	2
1	15	,2,4,12,	62
1	15	,2,12,13,	120
1	15	,2,8,12,	368
1	15	,2,3,13,	11468
1	15	,8,10,11,	12
1	15	,2,9,13,	90
1	15	,2,9,14,	263
1	15	,7,8,12,	126
1	15	,2,7,14,	34
1	15	,3,10,11,	2150
1	15	,2,9,18,	1
1	15	,2,13,14,	7
1	15	,14,15,18,	775
1	15	,2,10,11,	18486
1	15	,13,15,18,	127
1	15	,4,7,13,	45
1	15	,7,10,11,	381
1	15	,2,12,14,	492
1	15	,8,12,14,	1
1	15	,7,15,18,	334
1	15	,8,16,17,	3444
1	15	,2,15,18,	2743
1	3	,2,3,4,5,6,7,8,9,10,11,13,15,16,17,18,	203
1	3	,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,	95
1	3	,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,	1231
1	3	,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,	121
1	3	,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,	1295
1	3	,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,	1502
1	3	,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,	1433
1	3	,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,	1
1	3	,2,3,4,5,6,7,9,10,11,12,14,15,16,17,18,	69
1	3	,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,	831
1	3	,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18,	2182
1	3	,2,4,5,6,7,8,9,10,11,12,14,15,16,17,18,	4551
1	3	,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,	6
1	3	,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,	57
1	3	,2,3,4,5,6,7,8,10,11,12,13,15,16,17,18,	176
1	3	,2,3,5,6,7,8,9,10,11,12,13,14,15,17,18,	781
1	8	,2,6,7,8,10,11,12,14,15,18,	9
1	8	,2,4,5,6,7,10,11,14,15,18,	5
1	8	,2,3,4,5,6,7,10,11,15,18,	4
1	8	,2,3,6,7,9,10,11,13,15,18,	33
1	8	,2,9,10,11,12,14,15,16,17,18,	263
1	8	,2,3,8,9,10,11,13,14,15,18,	113
1	8	,2,4,5,6,7,8,12,14,16,17,	1
1	8	,2,3,4,5,7,8,12,13,16,17,	1
1	8	,4,5,6,7,8,9,10,11,15,18,	478
1	8	,4,5,6,7,10,11,12,14,15,18,	14
1	8	,3,5,6,7,9,12,13,14,15,18,	25
1	8	,2,3,8,10,11,13,15,16,17,18,	67
1	8	,2,3,8,10,11,12,13,14,15,18,	1
1	8	,3,9,10,11,13,14,15,16,17,18,	2
1	8	,2,3,4,5,6,7,8,10,11,14,	87
1	8	,4,5,6,7,8,9,12,14,16,17,	14
1	8	,2,3,9,10,11,12,13,14,15,18,	131
1	8	,2,3,4,5,6,7,8,9,13,14,	1631
1	8	,3,4,6,7,8,9,12,13,16,17,	1
1	8	,2,3,6,7,10,11,12,13,15,18,	30
1	8	,2,5,6,7,8,10,11,14,15,18,	832
1	8	,2,3,4,10,11,13,15,16,17,18,	217
1	8	,2,4,5,6,7,10,11,12,15,18,	2
1	8	,2,8,10,11,12,14,15,16,17,18,	1764
1	8	,3,7,8,10,11,12,13,14,15,18,	7
1	8	,2,8,9,10,11,14,15,16,17,18,	98
1	8	,3,8,9,10,11,13,15,16,17,18,	167
1	8	,2,3,4,6,7,11,12,13,15,18,	60
1	8	,2,8,9,10,11,12,15,16,17,18,	183
1	8	,3,10,11,12,13,14,15,16,17,18,	1
1	8	,3,4,5,6,7,9,12,13,16,17,	260
1	8	,2,3,4,6,7,10,11,13,15,18,	346
1	8	,2,3,4,10,11,12,13,14,15,18,	118
1	8	,2,3,4,5,6,7,15,16,17,18,	122
1	8	,2,3,5,6,7,8,9,12,13,14,	11357
1	13	,2,3,8,9,13,	3
1	13	,4,8,10,11,12,	5
1	13	,6,10,11,15,18,	79
1	13	,2,4,9,13,14,	72
1	13	,2,8,14,16,17,	64
1	13	,2,5,6,7,12,	340
